2024-11-20 08:14:12,835 - INFO - Started Telegram Scraping Process.
2024-11-20 08:14:14,337 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-20 08:14:16,576 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:14,859 - INFO - Phone migrated to 4
2024-11-20 08:15:14,965 - INFO - Reconnecting to new data center 4
2024-11-20 08:15:15,737 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-20 08:15:15,738 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:15,739 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-20 08:15:18,301 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-20 08:15:33,622 - INFO - Successfully connected to Telegram.
2024-11-20 08:16:25,686 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:25,828 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:26,131 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:26,272 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:26,419 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:26,566 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:26,679 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:26,789 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:27,074 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:27,219 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:27,392 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:27,550 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:27,729 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:27,886 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:28,040 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:28,235 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:28,443 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:28,633 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:28,781 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:28,931 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:29,070 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:29,445 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:29,585 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:29,708 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:29,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:29,995 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:30,169 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:30,296 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:30,411 - ERROR - Error storing raw data: unconverted data remains: +00:00
2024-11-20 08:16:30,411 - INFO - Scraped and stored 100 messages from lobelia4cosmetics.
2024-11-20 08:16:30,825 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:30,959 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:31,098 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:31,239 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:31,442 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:31,621 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:31,774 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:31,911 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
